met,metName,degree,keggID,hmdbID,stringsAsFactors,compartment,met_no_compartment,met_Rid,ID
m7masnB[r],"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)",2,,,FALSE,[r],m7masnB,m7masnB.r.,
3mldz[c],1-methylimidazole-4-acetaldehyde,2,C05827,HMDB04181,FALSE,[c],3mldz,X3mldz.c.,HMDB0004181
malt[l],Maltose,2,C00208,HMDB00163,FALSE,[l],malt,malt.l.,HMDB0000163
normete_L[c],L-Normetanephrine,2,C05589,HMDB00819,FALSE,[c],normete_L,normete_L.c.,HMDB0000819
3mgcoa[m],trans-3-methylglutaconyl-CoA(5-),2,C03231,HMDB01057,FALSE,[m],3mgcoa,X3mgcoa.m.,HMDB0001057
malcoa[x],Malonyl-CoA,2,C00083,HMDB01175,FALSE,[x],malcoa,malcoa.x.,HMDB0001175
mercplac[c],3-Mercaptolactate,2,C05823,HMDB02127,FALSE,[c],mercplac,mercplac.c.,HMDB0002127
mercplaccys[c],3-mercaptolactate-cysteine disulfide,2,,HMDB06512,FALSE,[c],mercplaccys,mercplaccys.c.,HMDB0006512
5mdru1p[c],5-Methylthio-5-deoxy-D-ribulose 1-phosphate,2,C04582,HMDB01299,FALSE,[c],5mdru1p,X5mdru1p.c.,HMDB0001299
mescon[m],Mesaconate,2,C01732,HMDB00749,FALSE,[m],mescon,mescon.m.,HMDB0000749
6hoxmelatn[c],6-Hydroxymelatonin,2,C05643,HMDB04081,FALSE,[c],6hoxmelatn,X6hoxmelatn.c.,HMDB0004081
meoh[l],methanol,2,C00132,HMDB01875,FALSE,[l],meoh,meoh.l.,HMDB0001875
mepi[c],Metanephrine,2,C05588,HMDB04063,FALSE,[c],mepi,mepi.c.,HMDB0004063
mev_R[x],(R)-mevalonate,2,C00418,HMDB00227,FALSE,[x],mev_R,mev_R.x.,HMDB0000227
5pmev[x],(R)-5-phosphonatomevalonate(3-),2,C01107,HMDB01343,FALSE,[x],5pmev,X5pmev.x.,HMDB0001343
mhista[c],N(tele)-methylhistaminium,2,C05127,HMDB00898,FALSE,[c],mhista,mhista.c.,HMDB0000898
mi1345p[n],"1D-myo-inositol 1,3,4,5-tetrakisphosphate(8-)",2,C01272,HMDB01059,FALSE,[n],mi1345p,mi1345p.n.,HMDB0001059
mi1345p[c],"1D-myo-inositol 1,3,4,5-tetrakisphosphate(8-)",2,C01272,HMDB01059,FALSE,[c],mi1345p,mi1345p.c.,HMDB0001059
mi1346p[n],"myo-inositol 1,3,4,6-tetrakisphosphate(8-)",2,C04477,HMDB01187,FALSE,[n],mi1346p,mi1346p.n.,HMDB0001187
mi1346p[c],"myo-inositol 1,3,4,6-tetrakisphosphate(8-)",2,C04477,HMDB01187,FALSE,[c],mi1346p,mi1346p.c.,HMDB0001187
mi13p[c],"1D-myo-Inositol 1,3-bisphosphate",2,C04062,HMDB06234,FALSE,[c],mi13p,mi13p.c.,HMDB0006234
mi1456p[n],"1D-myo-inositol 1,4,5,6-tetrakisphosphate(8-)",2,C11555,HMDB04527,FALSE,[n],mi1456p,mi1456p.n.,HMDB0004527
mi4p_D[c],1D-myo-inositol 4-phosphate(2-),2,C03546,HMDB01313,FALSE,[c],mi4p_D,mi4p_D.c.,HMDB0001313
mi14p[n],"(1R,2R,3R,4R,5R,6S)-2,3,5,6-tetrahydroxy-4-(phosphonatooxy)cyclohexyl phosphate",2,C01220,HMDB00968,FALSE,[n],mi14p,mi14p.n.,HMDB0000968
